首发日期	最后更新	标题	出品方	体裁	出品方类型	主题	标签	出处	摘要	收录理由	出品方品牌与代表产品/项目
2024-07-16	-	百炼文档（兼容 OpenAI 接口规范）	阿里云	文档	厂商	构造方式	tool-interface|工具接口	https://help.aliyun.com/zh/model-studio/	阿里云百炼文档介绍模型服务平台、兼容 OpenAI 的 API，以及创建智能体和知识库问答应用的方法。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2024-06-21	2026-09-19	Pydantic AI: how Python does AI	Pydantic	文档	厂商	构造方式	tool-interface|工具接口	https://github.com/pydantic/pydantic-ai	提供以 Python 类型系统为基础的智能体开发框架，支持模型连接、依赖注入、结构化输出和结果校验。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2024-06-20	-	Semantic conventions for generative AI systems	OpenTelemetry	规范	标准组织	运行与问责	observability|可观测	https://opentelemetry.io/docs/specs/semconv/gen-ai/	定义生成式 AI 系统遥测数据的统一命名约定，涉及模型、请求、生成内容及相关使用指标。	原文内容呈现AI 软件的运行治理、授权、监测或责任安排，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2024-06-06	2026-03-18	tau-bench: code and data for Tau-Bench	Sierra	文档	厂商	构造方式	benchmark|基准评测|tool-interface|工具接口	https://github.com/sierra-research/tau-bench	通过航空与零售等场景中的工具、用户和环境交互任务，评测智能体在规则约束下完成多轮任务的能力。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2024-02-06	2026-07-24	Daytona: secure and elastic infrastructure for running AI-generated code	Daytona	文档	厂商	构造方式|安全与攻防	sandbox|沙箱	https://github.com/daytonaio/daytona	介绍运行 AI 生成代码的安全执行环境；仓库说明核心开发已迁至私有代码库，公开仓库自 2026 年 6 月起不再更新。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式、AI 软件或智能体的威胁、安全控制与防护机制，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2023-12-18	-	ISO/IEC 42001:2023 — Information technology, Artificial intelligence, Management system	ISO/IEC	规范	标准组织	运行与问责	risk-framework|风险框架|regulation|法规	https://www.iso.org/standard/42001	—	原文内容呈现题名所示的 AI 管理体系标准涉及 AI 软件运行治理；当前未转述受限正文。，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2023-11-21	-	GAIA: a benchmark for General AI Assistants	FAIR Meta, Hugging Face, AutoGPT	论文	厂商	构造方式	benchmark|基准评测	https://arxiv.org/abs/2311.12983	构建通用 AI 助手基准，使用需要推理、多模态理解、网页浏览和工具使用的问题评测系统能力。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2023-11-06	-	Function calling	OpenAI	文档	厂商	构造方式	tool-interface|工具接口	https://platform.openai.com/docs/guides/function-calling	介绍 API 函数调用机制，使模型可选择应用预先定义的函数并以结构化参数请求外部系统执行。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	OpenAI；Function calling
2023-10-27	2026-09-20	CrewAI: framework for orchestrating role-playing, autonomous AI agents	CrewAI	文档	厂商	构造方式	orchestration|编排	https://github.com/crewAIInc/crewAI	提供以角色、任务和工具组织多个智能体的框架，并支持定义更完整的协作流程。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2023-10-11	2026-09-10	Letta: platform for stateful agents with advanced memory	Letta	文档	厂商	应用内部	memory|记忆	https://github.com/letta-ai/letta	提供构建有状态智能体的平台与框架，支持持久记忆、运行时状态和面向开发者的代理应用。	原文内容呈现AI 改变软件内部功能、流程或数据处理的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2023-10-04	2026-09-18	SWE-bench: can language models resolve real-world GitHub issues?	Princeton University	文档	学界	构造方式	benchmark|基准评测	https://github.com/SWE-bench/SWE-bench	以真实 GitHub 问题和对应代码仓库为任务，构成评估语言模型定位问题、修改代码并通过测试能力的基准。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2023-08-18	2026-04-15	AutoGen: a programming framework for agentic AI	Microsoft	文档	厂商	构造方式	orchestration|编排	https://github.com/microsoft/autogen	提供构建多智能体应用的编程框架，包含消息通信、智能体协作和运行时组件。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	Microsoft；AutoGen
2023-08-09	2026-09-20	LangGraph: build resilient agents	LangChain	文档	厂商	构造方式	orchestration|编排	https://github.com/langchain-ai/langgraph	提供有状态智能体编排框架，支持持久化运行状态、检查点、人工介入和长时任务执行。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	LangChain；LangGraph
2023-07-13	-	生成式人工智能服务管理暂行办法	国家互联网信息办公室等七部门	规范	标准组织	运行与问责	regulation|法规	https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm	规定在中国境内向公众提供生成式人工智能服务时的适用范围、服务提供者义务、数据安全和内容管理要求。	原文内容呈现AI 软件的运行治理、授权、监测或责任安排，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2023-06-20	2026-09-19	Mem0: the memory layer for AI agents	Mem0	文档	厂商	应用内部	memory|记忆	https://github.com/mem0ai/mem0	提供面向智能体和生成式 AI 应用的持久记忆组件，用于保存并检索跨会话的用户与任务信息。	原文内容呈现AI 改变软件内部功能、流程或数据处理的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2023-05-23	2026-09-20	AI SDK: the AI toolkit for TypeScript	Vercel	文档	厂商	构造方式	tool-interface|工具接口|orchestration|编排	https://github.com/vercel/ai	提供 TypeScript SDK，用统一接口连接生成式模型，并构建文本生成、结构化输出和流式交互应用。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	Vercel；AI SDK
2023-05-19	2026-04-13	Gorilla: training and evaluating LLMs for function calls (Berkeley Function Calling Leaderboard)	UC Berkeley	文档	学界	构造方式	benchmark|基准评测|tool-interface|工具接口	https://github.com/ShishirPatil/gorilla	建立函数调用评测基准，覆盖多种参数结构、并行及多轮调用场景，用于测试模型选择和调用 API 的表现。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2023-05-18	2026-09-19	Langfuse: open source agent evals and observability	Langfuse	文档	厂商	运行与问责	observability|可观测	https://github.com/langfuse/langfuse	提供开源的 LLM 应用观测与评估平台，用于记录模型调用轨迹、管理提示词并测试应用输出。	原文内容呈现AI 软件的运行治理、授权、监测或责任安排，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2023-04-29	2026-09-18	Zep: memory for AI agents	Zep	文档	厂商	应用内部	memory|记忆	https://github.com/getzep/zep	收录 Zep Cloud 的 SDK 示例与服务集成代码，展示如何在应用中调用其智能体记忆与上下文能力。	原文内容呈现AI 改变软件内部功能、流程或数据处理的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2023-04-12	2026-09-20	Dify: build agentic workflows and RAG pipelines with rich AI model and tool support	LangGenius	文档	厂商	构造方式|应用内部	orchestration|编排|RAG|检索增强|context-engineering|上下文工程	https://github.com/langgenius/dify	提供可视化平台来构建和运行 AI 应用，支持智能体工作流、检索增强生成、模型及工具连接。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式、AI 改变软件内部功能、流程或数据处理的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	LangGenius；Dify
2023-03-04	2026-09-19	E2B: open-source secure environment with real-world tools for AI agents	E2B	文档	厂商	构造方式|安全与攻防	sandbox|沙箱	https://github.com/e2b-dev/E2B	提供供 AI 智能体运行代码和工具的隔离云端沙箱环境及相关 SDK。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式、AI 软件或智能体的威胁、安全控制与防护机制，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2023-02-27	2026-09-19	Semantic Kernel: integrate cutting-edge LLM technology quickly and easily into your apps	Microsoft	文档	厂商	构造方式|应用内部	orchestration|编排	https://github.com/microsoft/semantic-kernel	提供将生成式模型集成到应用中的开发框架；仓库现说明其后继项目为 Microsoft Agent Framework。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式、AI 改变软件内部功能、流程或数据处理的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	Microsoft；Semantic Kernel
2022-11-09	2026-09-19	Phoenix: AI observability and evaluation	Arize AI	文档	厂商	运行与问责	observability|可观测	https://github.com/Arize-ai/phoenix	提供面向 LLM 应用的开源观测和评估工具，用于查看调用链路、分析模型行为及执行评测。	原文内容呈现AI 软件的运行治理、授权、监测或责任安排，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2022-11-02	2026-09-19	LlamaIndex: the document processing platform for AI	LlamaIndex	文档	厂商	应用内部	RAG|检索增强|context-engineering|上下文工程	https://github.com/run-llama/llama_index	提供用于连接数据与 LLM 应用的框架，支持数据摄取、索引、检索以及基于数据构建智能体工作流。	原文内容呈现AI 改变软件内部功能、流程或数据处理的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2022-10-17	2026-09-20	LangChain: the agent engineering platform	LangChain	文档	厂商	构造方式	tool-interface|工具接口|orchestration|编排	https://github.com/langchain-ai/langchain	提供构建 LLM 应用与智能体的开发框架，包含模型、工具、数据连接和运行流程等集成组件。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	LangChain；LangChain
2022-10-05	2026-09-18	Chroma: search infrastructure for AI	Chroma	文档	厂商	应用内部	RAG|检索增强	https://github.com/chroma-core/chroma	介绍用于 AI 应用的数据基础设施，提供向量、文档和元数据的存储、检索及相关查询接口。	原文内容呈现AI 改变软件内部功能、流程或数据处理的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2021-08-12	-	AI Risk Management Framework	NIST	规范	标准组织	运行与问责	risk-framework|风险框架	https://www.nist.gov/itl/ai-risk-management-framework	提供组织级 AI 风险管理框架，按治理、识别、测量和管理等功能组织 AI 生命周期风险工作。	原文内容呈现AI 软件的运行治理、授权、监测或责任安排，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2021-04-20	2026-09-10	pgvector: open-source vector similarity search for Postgres	pgvector	文档	社区与非营利	应用内部	RAG|检索增强	https://github.com/pgvector/pgvector	为 PostgreSQL 增加向量数据类型和相似度搜索能力，支持精确及近似近邻索引与多种距离度量。	原文内容呈现AI 改变软件内部功能、流程或数据处理的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2019-11-14	2026-09-19	Haystack: open-source AI orchestration framework for building context-engineered, production-ready LLM applications	deepset	文档	厂商	构造方式|应用内部	orchestration|编排|RAG|检索增强	https://github.com/deepset-ai/haystack	提供构建检索增强生成和智能体应用的开源 Python 框架，以可组合组件和管线组织数据处理与模型调用。	原文内容呈现AI 参与软件设计、实现、测试或工程流程的方式、AI 改变软件内部功能、流程或数据处理的方式，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
2017-08-07	2026-09-02	SPIFFE: the Secure Production Identity Framework for Everyone	SPIFFE (CNCF)	规范	标准组织	安全与攻防|运行与问责	authorization|身份与授权	https://github.com/spiffe/spiffe	定义服务工作负载的身份标识及相互认证标准，使服务能够以可验证身份建立安全通信。	原文内容呈现AI 软件或智能体的威胁、安全控制与防护机制、AI 软件的运行治理、授权、监测或责任安排，与本仓记录 AI 如何改变软件开发的范围直接相关。	—
